cluster_id,gold,tissue_name,stage_hpf,kind,scored,agrees,agrees_overlay,confidence,confidence_score,margin,ood,abstain_reason,n_resolved,n_markers,vocab_hit_rate,depth,zfa_id,bucket,panel_bucket,convergent_genes,attractor_groundings,thin_overcall,support_fraction,n_candidates
eye.22,eye,eye,48.0,named,1,0,0,medium,0.7104,0.1624,in_set,,25,25,0.12,2,ZFA:0009090,pigment cell,pigment,bace2;dct;gpr143;gstp1.2;pmela;qdpra;slc45a2;syngr1a;tspan36;tyrp1a;tyrp1b,,0,0.611,1
eye.23,eye,eye,48.0,abstain,1,,,,,0.0,no_signal,no_panel,24,25,0.04,0,,mixed/unresolved,,,,,,0
eye.24,eye,eye,72.0,abstain,1,,,,,0.0415,in_set,weak_signal,23,25,0.04,0,,mixed/unresolved,,,,,,1
eye.25,eye,eye,36.0,abstain,1,,,,,0.0334,structural,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,1
eye.26,eye,eye,14.0,abstain,1,,,,,0.0,no_signal,no_panel,25,25,0.04,0,,mixed/unresolved,,,,,,0
eye.27,eye,eye,60.0,abstain,1,,,,,0.0,no_signal,no_panel,24,25,0.0,0,,mixed/unresolved,,,,,,0
eye.28,eye,eye,120.0,named,1,1,1,low,0.4348,0.0355,in_set,,25,25,0.16,15,ZFA:0000143,retinal photoreceptor layer,eye,crx;elovl4b;faimb;gnat1;gnb1b;gngt1;gpx4b;neurod1;otx5;pde6gb;ppdpfa;rbp4l;rcvrna;rho;rom1b,neural,0,0.652,4
eye.29,eye,eye,48.0,named,1,1,1,low,0.4926,0.0933,in_set,,19,25,0.12,12,ZFA:0000152,retina,neural,cadm3;ckbb;fabp3;fabp7a;gpm6aa;her4.1;her4.2;hmgb1b;mdka;mdkb;nova2;ptmab,neural,0,0.706,1
eye.3,eye,eye,48.0,abstain,1,,,,,0.0371,in_set,weak_signal,22,25,0.08,0,,mixed/unresolved,,,,,,1
eye.30,eye,eye,48.0,named,1,1,1,medium,0.6971,0.16,in_set,,24,25,0.08,15,ZFA:0000024,retinal ganglion cell layer,neural,cxcr4b;elavl3;gpm6aa;gpm6ab;rbpms2b;rtn1a;sox11b;tubb5,neural,0,0.4,1
