zfa_id,name,tier,tier_prefloor,usefulness_score,cell_slim,has_cl,cell_identity,ic,credited_genes,direct_genes,n_children,n_is_a_parents,n_part_of_parents,is_leaf,obsolete,in_stoplist,admin_container,structural_container,pure_grouper,curated,on_discernible_step,flags
ZFA:0005460,atrium of sinus impar,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005461,perilymphatic duct,T4,T4,1.0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,
ZFA:0005462,otic duct,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005464,dentary-anguloarticular joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005465,ceratohyal-branchiostegal ray joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005466,ceratohyal-ventral hypohyal joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005467,ceratohyal-dorsal hypohyal joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005468,frontal-pterotic joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005469,hyomandibula-metapterygoid joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005470,inter-coracoid joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005471,inter-basipterygium joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005473,interhyal-epihyal joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005474,inter-hypobranchial 3 joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005475,inter-premaxillary joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005476,inter-ventral hypohyal joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005477,lateral ethmoid-frontal joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005478,opercle-interopercle joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005479,orbitosphenoid-lateral ethmoid joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005480,orbitosphenoid-prootic joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005481,prootic-exoccipital joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005482,prootic-pterosphenoid joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005483,pterosphenoid-orbitosphenoid joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005485,quadrate-hyomandibula joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005486,quadrate-metapterygoid joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005487,ventral hypohyal-urohyal joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005488,mandibular symphysis,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005492,sphenotic-prootic fossa,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005495,skin flap,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005496,snout,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005497,epihyal-ceratohyal joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005498,epihyal-branchiostegal ray joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005499,circulus,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005500,prootic bulla,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005501,interopercular-mandibular ligament,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005502,lateral ethmoid-autopalatine ligament,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005503,lateral ethmoid-ectopterygoid ligament,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005504,vertebra 4-vertebra 5 joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005505,vertebra 5-vertebra 6 joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005506,vertebra 6 - vertebra 7 joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005507,nasal capsule,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005508,inner mental barbel,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005510,prootic depression,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005511,sensory canal tubular ossicle,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005512,caudal fin principal ray 1,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005514,caudal fin principal ray 2,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
